publishedAt,authorDisplayName,textDisplay,likeCount
2023-02-12T06:18:50Z,Nazo Animanga,Beber pokonya pas udah lebaran ntah kapan wkwk,0
2023-02-08T19:02:27Z,Jihan Hanifah Aguska,"di section ini jelas bgt user andro pd ribut banding2in hp mereka sm setiap ip luncurin ip versi baru 👍🏻, sedangkan yg pengguna ip sgt jrg dilihat ngejelekin atau bandingin di setiap hp andro launch, kalian pd kenapa si user andro? Wkwkwk komen di lapak review hp kalian aja",0
2023-02-08T11:25:47Z,YL,"<a href=""https://www.youtube.com/watch?v=Lvq01WvB5D0&amp;t=12m28s"">12:28</a> s3 marketting dimulai 🤣",0
2023-02-08T07:00:39Z,silvia harachel,yang lagi cari iphone 13 pro max rasa baru harga sekon. bisa PM saya. punya saya pribadi mau jual karena kebesaran hapenya.,0
2023-02-08T01:13:30Z,Saqadaek Official,"Iphone mulai memakan lidah nya sendiri.<br>Prinsip iphone mempermudah manusia.<br>Contoh nya : Layar compact. Tapi sekarang Iphone mulai ngikuti tren layar gede panjang, yang malah jadi nyusahin 😅. Bener ga layar luar panjang, justu nyusahin apalagi kalo tangan pengguna kecil",0
2023-02-07T05:16:17Z,Indah Mutiafebrina,semoga bisa beli iphone ?,0
2023-02-05T17:09:53Z,Sutisna Widjaja,Akhirnya beli juga hari ini,1
2023-02-14T11:16:31Z,Syarifudin Baharsyah,Semoga berkah iPhonenya Aamiin,0
2023-02-04T14:05:52Z,APRIYANA,"Bang mau tanya, emang bener ya kalo hp region jepang camera gabisa silent begitu dibawa ke indonesia jadi silent camera? Maklum gaptek bang😅",0
2023-02-04T09:21:50Z,Agienugraha88,"Awam : Pake iphone buat gaya,pake iphone gitu2 aja,pake iphone mahal doank gtu yaa rata2 komen nya.<br><br>Tukang hp : 😂 ketawa aja <br>Ga usah jelasin jauh2 yang awam mereka ga akan paham.",0
2023-02-04T09:12:00Z,IFNREZ,"Ternyata gk ad sidik jari dlm layar y, padahal menurut opini saya itu bkin hp mewah",0
2023-02-03T14:18:15Z,Ajang Saepuloh,orang amerika bikin hp masih kalah sama orang indonesia..bukti nya panscol depan nya segede kumis paraden.coba kalo diperkecil kaya hp&quot; biasa pasti laris manis tuu..bang david bilangin sama bikin hp iphone panscol depan nya hilangin tuh biar enak di pandang mata😂😂,0
2023-02-02T03:25:24Z,Bebby,"Udh coba pakai 14 promax ibox dari bulan january , sejauh ini asik bgt ada si dynamic island nya ❤❤❤ bsa di pakai animasi teddy gtu di dynamic islandnyaa❤❤❤❤<br><br>Aku pakai yg warna gold bagus bgt bagian belakang body kaya bahan bludru halus gtu😂😂 nice pokoknyaa❤",0
2023-02-06T03:54:18Z,FAENYZ,"Iya² dimana² ada riview ip 14 pm mesti lu komen, niat lu komen biar pada tau kalo lu punya 14 pm dan bisa dibilang sombong",0
2023-02-01T03:46:20Z,nex kos,"lebih bagus saya milih 14 pro atau 14 pro max ya bang ? <br>soalnya kan ukuran di 14 pro max itu kan bongsor kali .. jangkauan ke dyland kalau pakai 1 tangan kan agak susah , di iphone 14 pro max ada kekurangannya gk ?",0
2023-02-01T11:01:18Z,nex kos,@AryaPramana baik bang makasih atas info nya ..,0
2023-02-01T09:46:05Z,AryaPramana,@nex kos kalau perlu baterai lebih lama dan suka nge-game yg perlu lyr besar ya ip 14 pro max aja tpi kalau ga perlu yg besar 14 pro aja udh bgs jg baterainya jg udh lbh awet dr seri 13 pro,1
2023-02-01T03:52:57Z,nex kos,"minta info dong , bantuin kasih saran soalnya bimbang kali <br>makasih",0
2023-01-31T12:44:03Z,Dimas Prayoga,Lebih baik beli Samsung s22 ultra apa iPhone 14pro,0
2023-01-29T13:11:51Z,Rae Han,Yg pke vivo  y21A mana nie☺👍,0
2023-01-29T09:14:12Z,nkitr koki,"<a href=""https://www.youtube.com/watch?v=Lvq01WvB5D0&amp;t=8m17s"">8:17</a> cara cek kyak itu masuk d mana ?",0
2023-01-29T03:50:06Z,Official Wiliam Lana,Bang giveway iphon😢,0
2023-01-29T03:03:22Z,ali animation,Semoga yang like.bisa beli hp iphone 14 pro max😁😁😁,2
2023-01-29T00:26:13Z,Jho runtuboy Raubaba,😕🦋,0
2023-01-28T17:36:24Z,dwi rohman,Bng review 14 pro vs 14 pro max,0
2023-01-28T15:17:38Z,Dasri Muhammad Nur,Saya suka iPhone tapi tidak ada uang buat beli,0
2023-01-26T21:26:50Z,CaturLifeLive,"Apple tetaplah apple, ada harga ada rupa. 👍👍👍👍👍👍",0
2023-01-26T15:44:02Z,Hasrul Fadli,Bang review cara meletakkan hp iphone di meja yang aman gimana? Apakah layar yqng menghadap ke bawah atau layar tetap menghadap ke atas? Aman yang mana?,0
2023-01-26T10:40:15Z,Rustam Affandi,Untuk berat gram nya 12 pro sama 14 pro gmna koh,0
2023-01-26T08:24:13Z,AAN DOANK 1989,HP nya para BOS. BESAR. DUNIA. manusia YG GILA.. Gak bakal kebeli..,0
2023-01-25T16:37:08Z,Fahrul Kamal,Saya mau beli HP ini malah ga cukup uang:) mana udh ga sabar lgi pengen punya hp ini...SAD Ending,0
2023-01-24T14:43:35Z,KARTOON ID,"Dari s21+ mau upgrade kemana bingung, mana batre hp udah rusak :)",0
2023-01-24T00:05:46Z,Aditya Ramadhan,izin bang ini saya pakai ip 14 pro main game ngelag lag,0
2023-01-23T23:20:13Z,D’ Aan,Banyak issue di ip14 terutama dylandnya burn,0
2023-01-23T12:19:09Z,UWOEE233,meanwhile :<br>girl : terimakasih om iphonknya,0
2023-01-23T12:12:33Z,Choe Mo2n,Nonton review ip 14 pro pke ss j7 2016 haaa,0
2023-01-23T09:55:05Z,yzn,Tahun 2023 beli ip 12 masih wort gak bang?,0
2023-01-23T02:16:58Z,Naomy Florist,Kurang 2 Minggu lagi beli iPhone 14 pro 😁,1
2023-01-21T15:35:33Z,yufitasyrni,Bang mo tnya msh worth it ga sih bli iphone 8+ di 2023 🥹,0
2023-01-21T09:05:07Z,siapa aku ?,tetap nonton walau pake hp android,0
